Project Title,Administering  IC,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Contact PI  Person ID,Contact PI / Project Leader,Organization Name,FY,FY Total Cost 
EFFECT OF SIT 'N' FIT CHAIR YOGA ON COMMUNITY-DWELLING ELDERS WITH OSTEOARTHRITIS,NCCAM,1R15AT007352-01A1,1,R15,AT,7352,1,A1,8730896,"MCCAFFREY, RUTH GALLIGAN ",FLORIDA ATLANTIC UNIVERSITY,2013,387569
MOLECULAR MECHANISMS OF PHOSPHATE SIGNALING IN E. COLI,NIGMS,1R15GM096222-01,1,R15,GM,96222,1,,1887616,"MCCLEARY, WILLIAM R",BRIGHAM YOUNG UNIVERSITY,2011,286600
TREATING LARYNGEAL HYPERFUNCTION WITH FLOW PHONATION,NIDCD,1R15DC013137-01A1,1,R15,DC,13137,1,A1,7748092,"MCCULLOUGH, GARY HODGE ",UNIVERSITY OF CENTRAL ARKANSAS,2013,371601
NOVEL POLYMERIC NANOPARTICLES FOR DRUG DELIVERY APPLICATIONS,NCI,1R15CA167571-01A1,1,R15,CA,167571,1,A1,8422957,"MCGORON, ANTHONY J",FLORIDA INTERNATIONAL UNIVERSITY,2013,200000
MECHANISMS OF EXTINCTION OF CONDITIONED FEAR BY VAGUS NERVE STIMULATION,NIMH,1R15MH099655-01A1,1,R15,MH,99655,1,A1,9646810,"MCINTYRE, CHRISTA ",UNIVERSITY OF TEXAS DALLAS,2013,429933
PURIFICATION OF A MODIFIED FLAGELLAR EXPORT APPARATUS,NIGMS,3R15GM080701-02S1,3,R15,GM,80701,2,S1,2115883,"MCMURRY, JONATHAN L",KENNESAW STATE UNIVERSITY,2012,22927
PURIFICATION OF A MODIFIED FLAGELLAR EXPORT APPARATUS,NIGMS,2R15GM080701-02,2,R15,GM,80701,2,,2115883,"MCMURRY, JONATHAN L",KENNESAW STATE UNIVERSITY,2011,319240
BACTERIOPHAGE CONTROL OF DNA REPAIR IN STREPTOCOCCUS PYOGENES,NIAID,2R15AI072718-03,2,R15,AI,72718,3,,6719294,"MCSHAN, WILLIAM MICHAEL",UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,2013,444000
EFFICIENT ASSEMBLAGE OF COMPLEX BIOLOGICALLY-ACTIVE TARGETS USING DONOR-ACCEPTOR,NIGMS,1R15GM088840-01A1,1,R15,GM,88840,1,A1,1863836,"MEAD, KEITH THOMAS",MISSISSIPPI STATE UNIVERSITY,2012,336418
MEASUREMENT APPROACH TO INDOOR WOOD SMOKE EXPOSURE AND THE ASSOCIATED SYMPTOMS,NHLBI,1R15HL115544-01A1,1,R15,HL,115544,1,A1,1881521,"MEEK, PAULA M",UNIVERSITY OF COLORADO DENVER,2013,517141
ROLE OF AUTOPHAGY AND RETROMER GENES IN GLP-1/NOTCH SIGNALING,NIGMS,1R15GM102846-01,1,R15,GM,102846,1,,8774863,"MELENDEZ, ALICIA ",QUEENS COLLEGE,2012,310002
NON-VIRAL GENETIC MODIFICATION OF ANTIGEN-PRESENTING CELLS IN ALLOGRAFTS,NIAID,1R15AI081218-01A2,1,R15,AI,81218,1,A2,6063925,"MENG, WILSON S",DUQUESNE UNIVERSITY,2011,357100
ALVEOLAR VERSUS BASAL OSTEOCYTES AND THEIR MODULATION OF MECHANICAL SIGNALS,NIDCR,1R15DE021878-01,1,R15,DE,21878,1,,6491902,"MESSER, REGINA LW",GEORGIA  REGENTS UNIVERSITY,2011,448750
POST-INFARCTION REMODELING IN THE DIABETIC MYOCARDIUM,NHLBI,1R15HL106442-01A1,1,R15,HL,106442,1,A1,1861521,"MESZAROS, J GARY ",NORTHEAST OHIO MEDICAL UNIVERSITY,2012,444267
PHYSIOLOGICAL & COGNITIVE PATHWAYS FROM TEMPERAMENT TO ADOLESCENT DEPRESSION,NIMH,1R15MH098294-01A1,1,R15,MH,98294,1,A1,10337870,"MEZULIS, AMY HEATHER",SEATTLE PACIFIC UNIVERSITY,2013,403459
NOVEL RECEPTOR-TARGETING THERANOSTIC PEPTIDES FOR PROSTATE CANCER,NCI,1R15CA173516-01A1,1,R15,CA,173516,1,A1,8656411,"MIAO, YUBIN ",UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,2013,453000
FRAGILE X MENTAL RETARDATION PROTEIN TRANSLATION REGULATOR FUNCTION: INTERACTIONS,NICHD,9R15HD078017-03A1,9,R15,HD,78017,3,A1,8129400,"MIHAILESCU, MIHAELA R",DUQUESNE UNIVERSITY,2013,394240
EPIGENETIC REGULATION OF THE INITIATION OF AN SV40 LYTIC INFECTION,NIAID,1R15AI094441-01A1,1,R15,AI,94441,1,A1,8666848,"MILAVETZ, BARRY IRA",UNIVERSITY OF NORTH DAKOTA,2012,414000
CYTOSINE DNA METHYLATION AND TRANSCRIPTIONAL REPRESSION IN AFRICAN TRYPANOSOMES,NIAID,2R15AI074035-02A1,2,R15,AI,74035,2,A1,6433915,"MILITELLO, KEVIN ",COLLEGE AT GENESEO,2012,387768
VIRUS AND CELL REGULATION OF REOVIRUS ESCAPE FROM TRANSLATION INHIBITION,NIAID,1R15AI090635-01,1,R15,AI,90635,1,,1903418,"MILLER, CATHY L",IOWA STATE UNIVERSITY,2010,430568
SYNTHESIS OF ANTICANCER HDAC INHIBITOR NATURAL PRODUCTS AND ANALOGS,NCI,1R15CA152869-01,1,R15,CA,152869,1,,10249955,"MILLER, JUSTIN SAMUEL",HOBART AND WILLIAM SMITH COLLEGES,2010,355523
STRUCTURAL AND FUNCTIONAL STUDIES OF AUTOINDUCER-2 PROCESSING PROTEINS,NIGMS,1R15GM096478-01A1,1,R15,GM,96478,1,A1,8547479,"MILLER, STEPHEN T.",SWARTHMORE COLLEGE,2012,255906
SOCIAL REFERENCING AND THE INFLUENCE OF PARENTAL AFFECT ON NON-AMBULATORY INFANTS,NICHD,1R15HD071935-01,1,R15,HD,71935,1,,10890327,"MIREAULT, GINA ",JOHNSON STATE COLLEGE,2012,300096
TESTING AND IMPROVING ALCHEMICAL TECHNIQUES FOR PREDICTING PROTEIN-LIGAND BINDING,NIGMS,1R15GM096257-01A1,1,R15,GM,96257,1,A1,10175415,"MOBLEY, DAVID LOWELL",LOUISIANA STATE UNIV-UNIV OF NEW ORLEANS,2012,267562
EFFECT OF BOTULINUM TOXIN PLUS VIBRATION ON BONE IN CHILDREN WITH CEREBRAL PALSY,NICHD,1R15HD071397-01,1,R15,HD,71397,1,,7936979,"MODLESKY, CHRISTOPHER M",UNIVERSITY OF DELAWARE,2012,464209
INHIBITION OF AMYLOIDOGENIC ISLET AMYLOID POLYPEPTIDE AGGREGATION WITH DESIGNED C,NIDDK,1R15DK094273-01,1,R15,DK,94273,1,,8581389,"MOFFET, DAVID AARON ",LOYOLA MARYMOUNT UNIVERSITY,2011,300506
EFFECTS OF NITRIC OXIDE ON SMOOTH MUSCLE CELL PROLIFERATIONS,NHLBI,1R15HL106600-01,1,R15,HL,106600,1,,10416644,"MOHANTY, DILLIP ",CENTRAL MICHIGAN UNIVERSITY,2011,406580
THE ROLE OF PHOSPHORYLATION IN REGULATING THE ANTIDIABETIC EFFECTS OF O3FAR-1,NIDDK,1R15DK098730-01,1,R15,DK,98730,1,,8724824,"MONIRI, NADER H",MERCER UNIVERSITY MACON,2013,409770
ARF6 MODULATION OF CHEMOKINE GRADIENT SENSING FUNCTIONS IN METASTATIC CELLS,NIGMS,1R15GM097718-01,1,R15,GM,97718,1,,10065617,"MOORE, CATHERINE CHEN",UNIVERSITY OF THE SCIENCES PHILADELPHIA,2012,323270
IDENTIFICATION OF PATHWAYS AFFECTED BY ESSENTIAL PROTEINS OF UNKNOWN FUNCTION,NIGMS,1R15GM102714-01,1,R15,GM,102714,1,,9480218,"MOORE, SEAN DAVID",UNIVERSITY OF CENTRAL FLORIDA,2012,413199
THE ROLE OF NK CELLS IN IMMUNODYSREGULATION BY HEPATITIS C VIRUS,NIAID,1R15AI103828-01,1,R15,AI,103828,1,,1865723,"MOORMAN, JONATHAN P.,  MD, PHD",EAST TENNESSEE STATE UNIVERSITY,2013,438000
UNDERSTANDING RESILIENCE IN ADOLESCENT GIRLS: PARENT; PEER; AND EMOTION DYNAMICS,NICHD,1R15HD072463-01,1,R15,HD,72463,1,,7141669,"MORRIS, AMANDA S",OKLAHOMA STATE UNIVERSITY STILLWATER,2012,493954
NUTRIENT SENSING AND HEXOKINASES IN T. BRUCEI,NIAID,2R15AI075326-02,2,R15,AI,75326,2,,7727272,"MORRIS, JAMES CULVIN",CLEMSON UNIVERSITY,2012,360079
MOLECULAR IDENTIFICATION AND FUNCTIONAL CHARACTERIZATION OF FRIED; A GENE REQUIRE,NIGMS,3R15GM090173-01S1,3,R15,GM,90173,1,S1,1875359,"MORRIS, JASON Z",FORDHAM UNIVERSITY,2010,6489
MOLECULAR IDENTIFICATION AND FUNCTIONAL CHARACTERIZATION OF FRIED; A GENE REQUIRE,NIGMS,1R15GM090173-01,1,R15,GM,90173,1,,1875359,"MORRIS, JASON Z",FORDHAM UNIVERSITY,2010,238422
REGULATION OF JNK SIGNALING BY DUAL SPECIFICITY PHOSPHATASES IN ADIPOCYTES,NIDDK,1R15DK082799-01A1,1,R15,DK,82799,1,A1,1886828,"MORRISON, RON F",UNIVERSITY OF NORTH CAROLINA GREENSBORO,2010,209250
MHC CHARACTERIZATION IN CHINESE RHESUS MACAQUES,NIAID,2R15AI064175-03A1,2,R15,AI,64175,3,A1,7738277,"MOTHE, BIANCA ROMINA",CALIFORNIA STATE UNIVERSITY SAN MARCOS,2013,370000
MECHANISTIC ELUCIDATION OF RNA MODIFYING ENZYMES,NIGMS,1R15GM107820-01,1,R15,GM,107820,1,,1925871,"MUELLER, EUGENE G",UNIVERSITY OF LOUISVILLE RES FDN,2013,334252
CHARACTERIZATION OF NOVEL BUTADIENE-INDUCED PUTATIVE P53 TARGET GENES,NIEHS,1R15ES019306-01,1,R15,ES,19306,1,,1941342,"MUGANDA, PERPETUA M",NORTH CAROLINA AGRI & TECH ST UNIV,2010,419014
MUC1 ENHANCES NEUROPILIN-1 SIGNALING IN PANCREATIC DUCTAL ADENOCARCINOMA,NCI,1R15CA173668-01,1,R15,CA,173668,1,,8556601,"MUKHERJEE, PINKU ",UNIVERSITY OF NORTH CAROLINA CHARLOTTE,2013,434003
COGNITIVE TRAINING EFFECTS IN ADULTS USING BRAIN-PLASTICITY-BASED COMPUTER GAMES,NIA,1R15AG038879-01A1,1,R15,AG,38879,1,A1,1947800,"MULTHAUP, KRISTI S ",DAVIDSON COLLEGE,2012,338441
ADAPTIVE EVOLUTIONARY RESPONSES OF WHITE-FOOTED MICE (PEROMYSCUS LEUCOPUS) TO URB,NIGMS,7R15GM099055-02,7,R15,GM,99055,2,,10669234,"MUNSHI-SOUTH, JASON ",FORDHAM UNIVERSITY,2012,184364
ALTERED MICRORNA AS A BIOMARKER FOR THE ONSET OF OBESITY RELATED WOMENS CANCERS,NCI,1R15CA176653-01A1,1,R15,CA,176653,1,A1,9751376,"MURPH, MANDI M",UNIVERSITY OF GEORGIA,2014,426849
FORM AND FUNCTION OF TANDEM DUPLICATE SMALL RNA MOLECULES IN SHIGELLA DYSENTERIAE,NIAID,1R15AI103887-01A1,1,R15,AI,103887,1,A1,6433909,"MURPHY, ERIN R",OHIO UNIVERSITY ATHENS,2013,445500
MECHANISM(S) OF CD8 T CELL-MEDIATED CHLAMYDIA-INDUCED REPRODUCTIVE PATHOLOGY,NIAID,1R15AI101920-01A1,1,R15,AI,101920,1,A1,9931811,"MURTHY, ASHLESH KRISHNA",MIDWESTERN UNIVERSITY,2013,459396
DOES CHARGE REPULSION OF AMYLOIDS REGULATE THEIR ASSEMBLY PATHWAYS AND TOXICITY?,NIGMS,1R15GM097723-01A1,1,R15,GM,97723,1,A1,6198342,"MUSCHOL, MARTIN ",UNIVERSITY OF SOUTH FLORIDA,2012,333404
YBMSM'S SEXUAL COMMUNICATION WITH FRIENDS IN TWO CULTURALLY DISTINCT U.S. REGIONS,NIMH,1R15MH095689-01A1,1,R15,MH,95689,1,A1,9595629,"MUTCHLER, MATT GARY",CALIFORNIA STATE UNIV-DOMINGUEZ HILLS,2012,399382
STEM CELL TRANSPLANTATION FOR EPILEPSY,NINDS,1R15NS072879-01A1,1,R15,NS,72879,1,A1,1926617,"NAEGELE, JANICE RAE",WESLEYAN UNIVERSITY,2013,484788
DECREASING BULLYING WITH SELF-AFFIRMATION: A TEST OF THE COMPENSATION MODEL,NICHD,1R15HD075229-01,1,R15,HD,75229,1,,10165085,"NAIL, PAUL REID ",UNIVERSITY OF CENTRAL ARKANSAS,2013,286550
REVISITING CHALLENGED FINDINGS TO DETERMINE SOCIAL AND COGNITIVE ABILITIES,NICHD,1R15HD072571-01,1,R15,HD,72571,1,,1911575,"NEIWORTH, JULIE J",CARLETON COLLEGE,2012,344204
KINEMATIC AND KINETIC EFFECT OF ORTHOTIC DEVICES FOR SUBJECTS WITH STAGE II POSTE,NIAMS,1R15AR061737-01A1,1,R15,AR,61737,1,A1,10676166,"NEVILLE, CHRISTOPHER GLENN",UPSTATE MEDICAL UNIVERSITY,2012,403875
ZOSTERIC ACID INTEGRATED THERMO-REVERSIBLE GELS FOR PREVENTING SURGICAL ADHESIONS,NIGMS,1R15GM097626-01A1,1,R15,GM,97626,1,A1,8846098,"NEWBY, BI-MIN ",UNIVERSITY OF AKRON,2012,376362
FUNCTIONAL INTERACTION OF AMYLOID-B PROTEIN WITH GLIAL TOLL-LIKE RECEPTORS,NIA,2R15AG033913-02,2,R15,AG,33913,2,,8539589,"NICHOLS, MICHAEL R.",UNIVERSITY OF MISSOURI-ST. LOUIS,2011,363127
HYDROGEN SULFIDE-RELEASING COMPOUNDS AND IOP REGULATION,NEI,1R15EY022215-01,1,R15,EY,22215,1,,10404454,"NJIE-MBYE, YA FATOU ",TEXAS SOUTHERN UNIVERSITY,2012,418561
GENETICS AND BIOSYNTHESIS OF AN O ANTIGEN ESSENTIAL FOR SYMBIOSIS,NIGMS,1R15GM087699-01A1,1,R15,GM,87699,1,A1,2182831,"NOEL, KENNETH D",MARQUETTE UNIVERSITY,2010,217826
CHARACTERIZATION OF A NEW KEY REGULATOR FOR PHENAZINE PRODUCTION IN PSEUDOMONADS,NIGMS,1R15GM104880-01A1,1,R15,GM,104880,1,A1,1950734,"NOMURA, CHRISTOPHER T",COLLEGE OF ENVIRONMENTAL SCI & FORESTRY,2013,351000
BRAIN MELANOCORTIN CONTROL OF ACTIVITY ENERGY EXPENDITURE AND OBESITY RESISTANCE,NIDDK,1R15DK097644-01A1,1,R15,DK,97644,1,A1,8393790,"NOVAK, COLLEEN M",KENT STATE UNIVERSITY AT KENT,2013,384192
RELAXIN: A NOVEL HRT FOR PREVENTION OF CARDIAC DISEASE,NHLBI,1R15HL097343-01A2,1,R15,HL,97343,1,A2,9673588,"NOVAK, JACQUELINE  ",WALSH UNIVERSITY,2011,356556
MOLECULAR MECHANISM OF AKIRIN FUNCTION DURING MYOGENESIS,NIGMS,1R15GM102826-01A1,1,R15,GM,102826,1,A1,8887082,"NOWAK, SCOTT JAMES",KENNESAW STATE UNIVERSITY,2013,309977
INFLAMMATORY AND HYPOXIA RESPONSES IN NEURODEGENERATION: A NOVEL DROSOPHILA MODEL,NINDS,1R15NS078728-01,1,R15,NS,78728,1,,9513005,"O'DONNELL, JANIS ",UNIVERSITY OF ALABAMA IN TUSCALOOSA,2012,406356
PROBING THE ARCHAZOLID PHARMACOPHORE USING PLANT-BASED V-ATPASE ASSAYS,NIGMS,1R15GM101580-01,1,R15,GM,101580,1,,9842562,"O'NEIL, GREGORY W ",WESTERN WASHINGTON UNIVERSITY,2012,290251
K CHANNEL PLASTICITY AND REGULATION OF VASOMOTOR TONE,NHLBI,1R15HL098896-01,1,R15,HL,98896,1,,1861826,"O'ROURKE, STEPHEN T",NORTH DAKOTA STATE UNIVERSITY,2010,215250
SPINDLE ASSEMBLY AND SCALING VIA MICROFLUIDIC ENCAPSULATION OF XENOPUS NUCLEI,NIGMS,1R15GM101636-01,1,R15,GM,101636,1,,9239678,"OAKEY, JOHN S",UNIVERSITY OF WYOMING,2012,312919
THE ROLE OF SNAIL SIGNALING IN PROSTATE CANCER METASTASIS,NCI,1R15CA169899-01A1,1,R15,CA,169899,1,A1,8630420,"ODERO-MARAH, VALERIE ",CLARK ATLANTA UNIVERSITY,2013,385991
REGULATION OF THE PGC-1ALPHA TRANSCRIPTIONAL COACTIVATOR BY OXIDATIVE STRESS,NIGMS,1R15GM101557-01,1,R15,GM,101557,1,,9086228,"OLSON, BRIAN L",ST. CLOUD STATE UNIVERSITY,2012,255848
PROCESSING OF SPOKEN LANGUAGE IN YOUNG CHILDREN WHO USE COCHLEAR IMPLANTS,NIDCD,1R15DC011605-01,1,R15,DC,11605,1,,10712352,"OLSON, JANET LYNN",NORTHERN ILLINOIS UNIVERSITY,2011,338907
EXAMINATION OF EXPOSURE TO BACTERIAL METABOLITES AS A RISK FACTOR FOR PARKINSON D,NIEHS,1R15ES019310-01,1,R15,ES,19310,1,,9834251,"OLSON, JULIE BETH ",UNIVERSITY OF ALABAMA IN TUSCALOOSA,2010,416960
MECHANISM OF CELL MEMBRANE TARGETING BY VIBRIO CHOLERAE CYTOLYSIN,NIAID,1R15AI101977-01,1,R15,AI,101977,1,,2204671,"OLSON, RICHARD A",WESLEYAN UNIVERSITY,2012,460197
BEHAVIORAL EFFECTS OF CB2 CANNABINOID RECEPTORS (CB2RS),NIDA,1R15DA032890-01A1,1,R15,DA,32890,1,A1,1866179,"ONAIVI, EMMANUEL S",WILLIAM PATERSON UNIVERSITY,2012,351841
BIOMARKERS FOR POSTTRAUMATIC STRESS IN WOMEN FOLLOWING A CAMPUS MASS SHOOTING,NIMH,1R15MH099521-01,1,R15,MH,99521,1,,3155176,"ORCUTT, HOLLY K",NORTHERN ILLINOIS UNIVERSITY,2012,402750
INVESTIGATING THE ROLE OF MUSCLE-DERIVED BDNF IN NEUROMUSCULAR DISEASE PATHOLOGY,NINDS,1R15NS074367-01A1,1,R15,NS,74367,1,A1,10492958,"OTTEM, ERICH NORSE",NORTHERN MICHIGAN UNIVERSITY,2011,368200
DO 'SCHIZOPHRENIA-LIKE' DECREASES IN CORTICAL GABA FUNCTION IMPAIR COGNITION?,NIMH,1R15MH098246-01,1,R15,MH,98246,1,,11110116,"PAINE, TRACIE ANN",OBERLIN COLLEGE,2012,267881
TRYPANOSOME RNA SYNTHESIS: CHARACTERIZATION OF A NOVEL TRANSCRIPTION FACTOR AS A,NIAID,1R15AI078396-01A1,1,R15,AI,78396,1,A1,9113323,"PALENCHAR, JENNIFER ",VILLANOVA UNIVERSITY,2009,220827
CREATING A TOOL TO ANALYZE PROTEIN SEQUENCES BASED ON IMPORTANT AMINO ACIDS,NIGMS,7R15GM079792-02,7,R15,GM,79792,2,,8585676,"PALENCHAR, PETER MARK",VILLANOVA UNIVERSITY,2009,49228
NANOTUBE ANTIBODY ARRAYS FOR PROFILING CIRCULATING DISEASED CELLS,NCI,1R15CA156322-01A1,1,R15,CA,156322,1,A1,10177876,"PANCHAPAKESAN, BALAJI ",UNIVERSITY OF LOUISVILLE RES FDN,2011,422722
BINUCLEAR COMPLEXES WITH EXCITED-STATE PROTON TRANSFER FOR PYROPHOSPHATE SENSOR,NIBIB,1R15EB014546-01A1,1,R15,EB,14546,1,A1,8668727,"PANG, YI ",UNIVERSITY OF AKRON,2012,445500
MATERNAL METHYL DIET AND EPIGENETIC IMPRINT IN OFFSPRING MAMMARY CARCINOGENESIS,NCI,1R15CA164768-01A1,1,R15,CA,164768,1,A1,1967912,"PARK, CHUNG SUN",NORTH DAKOTA STATE UNIVERSITY,2012,285065
ADEQUATE BREAST MILK FOR IMPROVED HEALTH OF VERY LOW BIRTH WEIGHT PRETERM INFANTS,NINR,1R15NR013566-01A1,1,R15,NR,13566,1,A1,10824251,"PARKER, LESLIE A",UNIVERSITY OF FLORIDA,2013,407599
THE ROLE OF MYOSIN IN VESICLE TRAFFICKING,NIDDK,2R15DK073180-02A1,2,R15,DK,73180,2,A1,1936005,"PATEL, YASHOMATI M",UNIVERSITY OF NORTH CAROLINA GREENSBORO,2010,209250
HYDROQUINONE DERIVATIVES AS NOVEL CALCIUM ATPASE INHIBITORS,NIGMS,2R15GM084431-02A1,2,R15,GM,84431,2,A1,8527958,"PAULA, STEFAN FRANZ",NORTHERN KENTUCKY UNIVERSITY,2013,311420
PREDICTING LATER PARENT-CHILD AGGRESSION IN EXPECTANT PARENTS: THE TRIPLE F STUDY,NICHD,1R15HD071431-01A1,1,R15,HD,71431,1,A1,7851802,"PAYNE, C CHRIS",UNIVERSITY OF NORTH CAROLINA GREENSBORO,2012,429358
ENVIRONMENTAL SAMPLING OF LEPTOSPIRA SPECIES TO LINK TO HUMAN LEPTOSPIROSIS CASES,NIAID,1R15AI101913-01A1,1,R15,AI,101913,1,A1,10108300,"PEARSON, TALIMA ROSS",NORTHERN ARIZONA UNIVERSITY,2013,435583
INVESTIGATING REGULATION OF INTEGRAL MEMBRANE PROTEIN COFACTOR BIOSYNTHESIS USING,NIGMS,7R15GM094735-02,7,R15,GM,94735,2,,10290799,"PECK, RONALD F",COLBY COLLEGE,2011,173838
NEUROPROTECTIVE EFFECTS OF BRAIN GLYCOGEN IN HYPOGLYCEMIA,NIDDK,2R15DK078370-02A1,2,R15,DK,78370,2,A1,6063579,"PEDERSON, BARTHOLOMEW A",BALL STATE UNIVERSITY,2013,420000
RURAL LONG-TERM CANCER SURVIVORS AND CONTEXTUAL HEALTH-RELATED QUALITY OF LIFE,NINR,1R15NR010627-01A2,1,R15,NR,10627,1,A2,8528194,"PEDRO, LELI ",UNIVERSITY OF COLORADO DENVER,2010,229688
TARGETING EIF2ALPHA SIRNA TO ALPHA(V)BETA(3) INTEGRIN-BEARING TUMOR CELLS,NCI,1R15CA152828-01,1,R15,CA,152828,1,,6870984,"PENG, CHING-AN ",MICHIGAN TECHNOLOGICAL UNIVERSITY,2010,354840
NEW RADIATION-ACTIVATED ANTITUMOR AGENTS THAT TARGET HYPOXIA,NCI,1R15CA152914-01,1,R15,CA,152914,1,,10262049,"PENG, XIAOHUA ",UNIVERSITY OF WISCONSIN MILWAUKEE,2010,358507
ACE ENGINEERED MSCS AS A MULTIDRUG-DELIVERY PLATFORM FOR BREAST CANCER THERAPY,NCI,1R15CA173701-01,1,R15,CA,173701,1,,9791312,"PERKINS, EDWARD LEON",MERCER UNIVERSITY MACON,2013,452254
INTERACTION OF ASIC AND BK CHANNELS AND ITS ROLE IN GLIAL PROLIFERATION,NINDS,1R15NS070260-01A1,1,R15,NS,70260,1,A1,10009343,"PETROFF, ELENA ",MONTCLAIR STATE UNIVERSITY,2011,320657
BIOSENSING USING DNA NANOREACTORS THAT TRANSFORM CHROMOPHORIC SILVER CLUSTERS,NIGMS,1R15GM102818-01A1,1,R15,GM,102818,1,A1,9047681,"PETTY, JEFFREY THOMAS",FURMAN UNIVERSITY,2013,323150
IDENTIFICATION OF FUNCTIONAL TARGETS FOR ASBESTOS INDUCED AUTOANTIBODIES,NIEHS,1R15ES021884-01,1,R15,ES,21884,1,,6770990,"PFAU, JEAN COOPER",IDAHO STATE UNIVERSITY,2012,366266
THIOURETHANES AS LOW-STRESS MODIFIERS IN DENTAL COMPOSITES,NIDCR,1R15DE023211-01A1,1,R15,DE,23211,1,A1,10233202,"PFEIFER, CARMEM S.",OREGON HEALTH & SCIENCE UNIVERSITY,2013,429600
PHYSICAL ACTIVITY AND DISABILITY IN RESIDENTIAL CARE/ASSISTED LIVING RESIDENTS,NINR,1R15NR012835-01,1,R15,NR,12835,1,,7734186,"PHILLIPS, LORRAINE J",UNIVERSITY OF MISSOURI-COLUMBIA,2011,443725
MOLECULAR EVOLUTION OF VIRAL EPITOPES: ADAPTIVE EVOLUTION OF EVASION,NIGMS,1R15GM086782-01A1,1,R15,GM,86782,1,A1,8557633,"PIONTKIVSKA, HELEN ",KENT STATE UNIVERSITY AT KENT,2010,204537
ROLE OF PARABRACHIAL NUCLEUS BENZODIAZEPINES IN GUSTATORY CODING AND BEHAVIOR,NIDCD,1R15DC012195-01,1,R15,DC,12195,1,,1953789,"PITTMAN, DAVID W",WOFFORD COLLEGE,2012,395468
THE IMPACT OF BACTERIAL FATTY ACID STRUCTURE ON THE ACTIVITY OF ANTIMICROBIAL PEP,NIAID,1R15AI088567-01,1,R15,AI,88567,1,,8910307,"POKORNY ALMEIDA, ANTJE ",UNIVERSITY OF NORTH CAROLINA WILMINGTON,2010,216000
SWALLOW FUNCTION AND RNA LOCALIZATION IN DROSOPHILA OOCYTES,NIGMS,1R15GM096076-01A1,1,R15,GM,96076,1,A1,1865091,"POKRYWKA, NANCY ",VASSAR COLLEGE,2011,259297
GLYCODIVERSIFICATION OF ANGUCYCLINE ANTIBIOTICS,NIAID,7R15AI084075-02,7,R15,AI,84075,2,,9342630,"PONGDEE, RONGSON ",UNIVERSITY OF THE SOUTH,2009,170014
MECHANISMS OF MUSCLE MICROCIRCULATORY DYSFUNCTION IN HEART FAILURE,NHLBI,1R15HL108328-01,1,R15,HL,108328,1,,1881538,"POOLE, DAVID C",KANSAS STATE UNIVERSITY,2011,365546
CARE COORDINATION FOR OLDER ADULTS: PROCESS; OUTCOMES; COST,NINR,1R15NR012940-01,1,R15,NR,12940,1,,7979961,"POPEJOY, LORI LEA",UNIVERSITY OF MISSOURI-COLUMBIA,2011,450661
FEAR MODULATION OF IL EXCITABILITY,NIMH,1R15MH101700-01,1,R15,MH,101700,1,,8870305,"PORTER, JAMES T.",PONCE SCHOOL OF MEDICINE,2013,477566
MECHANISMS UNDERLYING ENCODING OF VOCALIZATIONS IN THE AUDITORY SYSTEM,NIDCD,1R15DC013414-01,1,R15,DC,13414,1,,8602896,"PORTFORS, CHRISTINE ",WASHINGTON STATE UNIVERSITY,2013,453000
LOW-AFFINITY ARYL HYDROCARBON RECEPTORS IN THE FROG XENOPUS LAEVIS,NIEHS,2R15ES011130-04,2,R15,ES,11130,4,,1893865,"POWELL, WADE H",KENYON COLLEGE,2010,286792
MAPPING THE BINDING SITE OF CLASS D BETA-LACTAMASE ENZYMES FOR INHIBITOR DESIGN A,NIAID,1R15AI094489-01,1,R15,AI,94489,1,,10515321,"POWERS, RACHEL ",GRAND VALLEY STATE UNIVERSITY,2011,319823
MESO-ACCUMBENS SEROTONERGIC INVOLVEMENT IN APPETITIVE AND CONSUMMATORY BEHAVIORS,NIDA,1R15DA030618-01,1,R15,DA,30618,1,,10144902,"PRATT, WAYNE E",WAKE FOREST UNIVERSITY,2011,314128
NON-NUCLEOSIDE INHIBITORS OF DNA METHYL TRANSFERASE I,NCI,1R15CA179368-01,1,R15,CA,179368,1,,1969859,"PRIESTLEY, NIGEL D",UNIVERSITY OF MONTANA,2013,410350
BONE MARROW BLOOD VESSEL LOCATION AND BLOOD FLOW WITH PTH AND ANTI-VEGF,NIAMS,7R15AR062882-02,7,R15,AR,62882,2,,10182098,"PRISBY, RHONDA ",UNIVERSITY OF DELAWARE,2012,381375
TEMPORAL AND SPATIAL EXPRESSION OF REGULATORS AFFECTING ESCHERICHIA COLI BIOFILM,NIAID,3R15AI089403-01A1S1,3,R15,AI,89403,1,A1S1,8045517,"PRUESS, BIRGIT MAGDALENE",NORTH DAKOTA STATE UNIVERSITY,2012,43721
TEMPORAL AND SPATIAL EXPRESSION OF REGULATORS AFFECTING ESCHERICHIA COLI BIOFILM,NIAID,1R15AI089403-01A1,1,R15,AI,89403,1,A1,8045517,"PRUESS, BIRGIT MAGDALENE",NORTH DAKOTA STATE UNIVERSITY,2011,358750
